trial_type,vertex,chromo,spatial_act
Stim C3,66,HbR,-5.767173511442611e-21
Stim C3,67,HbO,9.835146932979796e-15
Stim C3,67,HbR,-3.934058773191919e-15
Stim C3,68,HbO,2.04443368058268e-14
Stim C3,68,HbR,-8.17773472233072e-15
Stim C3,69,HbO,6.9944266449723064e-15
Stim C3,69,HbR,-2.797770657988923e-15
Stim C3,70,HbO,6.019332212763871e-16
Stim C3,70,HbR,-2.407732885105549e-16
Stim C3,71,HbO,2.515937403219814e-16
Stim C3,71,HbR,-1.0063749612879257e-16
Stim C3,72,HbO,2.499565316430171e-15
Stim C3,72,HbR,-9.998261265720687e-16
Stim C3,73,HbO,2.9388046270051993e-16
Stim C3,73,HbR,-1.1755218508020798e-16
Stim C3,74,HbO,2.9228791411941905e-22
Stim C3,74,HbR,-1.1691516564776764e-22
Stim C3,75,HbO,1.0906067049509683e-14
Stim C3,75,HbR,-4.362426819803873e-15
Stim C3,76,HbO,2.4904832670335966e-14
Stim C3,76,HbR,-9.961933068134387e-15
Stim C3,77,HbO,5.441401723331663e-15
Stim C3,77,HbR,-2.176560689332665e-15
Stim C3,78,HbO,5.5883314129194635e-14
Stim C3,78,HbR,-2.2353325651677857e-14
Stim C3,79,HbO,6.369232978842622e-17
Stim C3,79,HbR,-2.5476931915370485e-17
Stim C3,80,HbO,5.101161980574458e-14
Stim C3,80,HbR,-2.040464792229783e-14
Stim C3,81,HbO,2.130982477533361e-15
Stim C3,81,HbR,-8.523929910133445e-16
Stim C3,82,HbO,1.7133742716508957e-15
Stim C3,82,HbR,-6.853497086603583e-16
Stim C3,83,HbO,7.6029817270841e-18
Stim C3,83,HbR,-3.04119269083364e-18
Stim C3,84,HbO,6.472871582303906e-21
Stim C3,84,HbR,-2.589148632921563e-21
Stim C3,85,HbO,1.5784329464721007e-19
Stim C3,85,HbR,-6.313731785888401e-20
Stim C3,86,HbO,2.768340538235485e-20
Stim C3,86,HbR,-1.1073362152941942e-20
Stim C3,87,HbO,4.631341849108222e-21
Stim C3,87,HbR,-1.8525367396432886e-21
Stim C3,88,HbO,1.5651105208539882e-21
Stim C3,88,HbR,-6.260442083415953e-22
Stim C3,89,HbO,6.728184593838377e-14
Stim C3,89,HbR,-2.691273837535351e-14
Stim C3,90,HbO,9.294966426998334e-14
Stim C3,90,HbR,-3.7179865707993327e-14
Stim C3,91,HbO,1.4872797875955174e-14
Stim C3,91,HbR,-5.949119150382071e-15
